epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0546,1.42773,4.78041,1.18186,0.00498,0.29917,0.01118,0.00694,1.42173,4.24268,1.09833,5e-05,5e-05,5e-05
2,48.7051,1.34489,4.54383,1.13052,0.00881,0.3975,0.04479,0.02448,1.31071,4.14251,1.04586,9.57313e-05,9.57313e-05,9.57313e-05
3,72.1946,1.27715,4.24354,1.12753,0.01253,0.6325,0.07469,0.04338,1.29489,4.14441,1.03968,0.000130325,0.000130325,0.000130325
4,95.3127,1.29402,4.01247,1.09707,0.01492,0.7675,0.14989,0.09709,1.2404,4.06972,0.99051,0.000153781,0.000153781,0.000153781
5,117.648,1.31514,3.52648,1.12534,0.01404,0.74667,0.15918,0.1083,1.25653,3.95194,1.00163,0.0001661,0.0001661,0.0001661
6,141.087,1.32137,3.24416,1.13103,0.01406,0.84667,0.22028,0.15102,1.20071,3.80491,0.98916,0.000167281,0.000167281,0.000167281
7,166.549,1.34609,2.94736,1.16617,0.01377,0.79,0.24704,0.18084,1.2259,3.66448,1.0157,0.000157325,0.000157325,0.000157325
8,193.777,1.2805,2.98555,1.11843,0.55168,0.29365,0.34512,0.25967,1.22946,3.51017,1.03345,0.000136231,0.000136231,0.000136231
9,222.572,1.26445,2.68389,1.11908,1,0.07114,0.3349,0.25038,1.2176,3.43664,1.03601,0.000104,0.000104,0.000104
10,248.365,1.23994,2.7167,1.13056,1,0.07253,0.33141,0.24304,1.21223,3.3608,1.03314,6.06312e-05,6.06312e-05,6.06312e-05
