Time,Pure Signal,Noisy Signal,Kalman Filter,Complementary Filter,Hybrid Filter,Moving Average Filter
0.000000,0.000000,-0.602912,-0.548103,-0.030146,-0.392716,0.162556
0.005000,0.062791,0.032975,-0.271383,-0.026990,-0.198065,0.093946
0.010000,0.125333,0.975636,0.130954,0.023142,0.098611,0.061389
0.015000,0.187381,0.732193,0.277652,0.058594,0.211935,0.108901
0.020000,0.248690,-0.480268,0.128947,0.031651,0.099758,0.239035
0.025000,0.309017,-0.227899,0.070392,0.018674,0.054877,0.353694
0.030000,0.368125,0.332584,0.107370,0.034369,0.085470,0.308834
0.035000,0.425779,0.308025,0.132187,0.048052,0.106946,0.257838
0.040000,0.481754,0.835588,0.209663,0.087429,0.172993,0.472249
0.045000,0.535827,0.661612,0.254541,0.116138,0.213020,0.562264
0.050000,0.587785,0.375224,0.265452,0.129092,0.224544,0.557584
0.055000,0.637424,1.020606,0.328129,0.173668,0.281791,0.635258
0.060000,0.684547,0.402207,0.333812,0.185095,0.289197,0.564723
0.065000,0.728969,0.299826,0.331388,0.190831,0.289221,0.606800
0.070000,0.770513,0.851740,0.366084,0.223877,0.323422,0.666995
0.075000,0.809017,0.341849,0.364567,0.229775,0.324130,0.566140
0.080000,0.844328,0.956145,0.399470,0.266094,0.359457,0.612659
0.085000,0.876307,0.796588,0.421630,0.292619,0.382926,0.618952
0.090000,0.904827,0.314626,0.415965,0.293719,0.379291,0.630899
0.095000,0.929776,0.727840,0.431674,0.315425,0.396799,0.747493
0.100000,0.951057,0.343875,0.427456,0.316848,0.394273,0.761603
0.105000,0.968583,0.935369,0.450786,0.347774,0.419882,0.803516
0.110000,0.982287,1.158005,0.481909,0.388285,0.453822,0.928325
0.115000,0.992115,1.054921,0.506116,0.421617,0.480766,0.902897
0.120000,0.998027,1.089979,0.529835,0.455035,0.507395,0.977937
0.125000,1.000000,1.188285,0.555601,0.491698,0.536430,0.973383
0.130000,0.998027,0.549846,0.555384,0.494605,0.537150,0.944393
0.135000,0.992115,0.869155,0.566827,0.513332,0.550778,0.909652
0.140000,0.982287,0.903491,0.578704,0.532840,0.564945,0.886000
0.145000,0.968583,0.955075,0.591565,0.553952,0.580281,0.816573
0.150000,0.951057,0.811735,0.598860,0.566841,0.589255,0.828376
0.155000,0.929776,0.924416,0.609332,0.584720,0.601948,0.864109
0.160000,0.904827,0.702292,0.612238,0.590599,0.605746,0.851859
0.165000,0.876307,0.632467,0.612853,0.592692,0.606804,0.885919
0.170000,0.844328,1.119289,0.627844,0.619022,0.625197,0.839878
0.175000,0.809017,0.817744,0.633321,0.628958,0.632012,0.771153
0.180000,0.770513,1.193489,0.649079,0.657184,0.651511,0.786157
0.185000,0.728969,0.489452,0.644696,0.648798,0.645927,0.810324
0.190000,0.684547,0.443340,0.639297,0.638525,0.639065,0.757422
0.195000,0.637424,0.807321,0.643701,0.646965,0.644680,0.629676
0.200000,0.587785,0.801636,0.647750,0.654698,0.649834,0.439310
0.205000,0.535827,0.748975,0.650289,0.659412,0.653026,0.450071
0.210000,0.481754,-0.076484,0.632431,0.622617,0.629487,0.444184
0.215000,0.425779,-0.139073,0.613856,0.584533,0.605059,0.427058
0.220000,0.368125,0.564784,0.612697,0.583545,0.603952,0.554399
0.225000,0.309017,0.402131,0.607821,0.574475,0.597817,0.464181
0.230000,0.248690,0.687434,0.609631,0.580123,0.600778,0.514139
0.235000,0.187381,1.693025,0.633811,0.635768,0.634398,0.552612
0.240000,0.125333,0.117447,0.622489,0.609852,0.618697,0.415782
